Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,87.1875
3989.4736842105262,86.875
3984.2105263157896,86.875
3978.9473684210525,86.875
3973.684210526316,86.5625
3968.4210526315787,86.25
3963.157894736842,86.25
3957.8947368421054,86.25
3952.6315789473683,86.25
3947.3684210526317,85.9375
3942.1052631578946,85.625
3936.842105263158,85.625
3931.578947368421,85.625
3926.315789473684,85.625
3921.0526315789475,85.625
3915.7894736842104,85.9375
3910.5263157894738,85.625
3905.2631578947367,85.3125
3900.0,85.3125
3894.7368421052633,85.3125
3889.4736842105262,85.625
3884.2105263157896,85.625
3878.9473684210525,85.9375
3873.684210526316,85.9375
3868.4210526315787,85.9375
3863.157894736842,85.9375
3857.8947368421054,85.9375
3852.6315789473683,85.625
3847.3684210526317,85.3125
3842.1052631578946,85.0
3836.842105263158,85.0
3831.578947368421,85.0
3826.315789473684,85.0
3821.0526315789475,84.375
3815.7894736842104,84.0625
3810.5263157894738,83.75
3805.2631578947367,83.75
3800.0,83.75
3794.7368421052633,83.4375
3789.4736842105262,83.125
3784.2105263157896,82.8125
3778.9473684210525,81.875
3773.684210526316,80.9375
3768.4210526315787,79.6875
3763.157894736842,78.4375
3757.8947368421054,77.1875
3752.6315789473683,75.9375
3747.3684210526317,74.6875
3742.1052631578946,72.5
3736.842105263158,69.0625
3731.578947368421,63.4375
3726.315789473684,57.1875
3721.0526315789475,48.75000000000001
3715.7894736842104,40.93750000000001
3710.5263157894738,34.375
3705.2631578947367,29.0625
3700.0,24.6875
3694.7368421052633,21.25
3689.4736842105262,19.6875
3684.2105263157896,18.125
3678.9473684210525,17.8125
3673.684210526316,17.5
3668.4210526315787,17.5
3663.157894736842,17.1875
3657.8947368421054,16.5625
3652.6315789473683,15.3125
3647.3684210526317,14.375
3642.1052631578946,12.8125
3636.842105263158,11.25
3631.578947368421,10.3125
3626.315789473684,9.0625
3621.0526315789475,8.125
3615.7894736842104,7.5
3610.5263157894738,6.875
3605.2631578947367,6.5625
3600.0,6.25
3594.7368421052633,5.9375
3589.4736842105262,5.625
3584.2105263157896,5.625
3578.9473684210525,5.625
3573.684210526316,5.625
3568.4210526315787,5.625
3563.157894736842,5.9375
3557.894736842105,5.9375
3552.6315789473683,6.25
3547.3684210526317,6.5625
3542.1052631578946,6.875
3536.842105263158,7.5
3531.578947368421,8.125
3526.315789473684,8.75
3521.0526315789475,9.375
3515.7894736842104,10.0
3510.5263157894738,10.9375
3505.2631578947367,12.1875
3500.0,13.4375
3494.7368421052633,14.375
3489.4736842105262,15.9375
3484.2105263157896,17.5
3478.9473684210525,19.375
3473.684210526316,20.9375
3468.421052631579,23.125
3463.157894736842,25.3125
3457.894736842105,27.5
3452.6315789473683,29.375
3447.3684210526317,31.875
3442.1052631578946,34.375
3436.842105263158,37.18749999999999
3431.578947368421,39.0625
3426.315789473684,41.87499999999999
3421.0526315789475,44.6875
3415.7894736842104,46.875
3410.5263157894738,48.75000000000001
3405.2631578947367,51.25
3400.0,53.4375
3394.7368421052633,55.3125
3389.4736842105262,56.875
3384.2105263157896,58.75
3378.9473684210525,60.3125
3373.684210526316,61.875
3368.421052631579,62.5
3363.157894736842,63.75
3357.894736842105,64.375
3352.6315789473683,65.3125
3347.3684210526317,65.9375
3342.1052631578946,65.9375
3336.842105263158,65.3125
3331.578947368421,64.6875
3326.315789473684,62.8125
3321.0526315789475,60.625
3315.7894736842104,59.6875
3310.5263157894738,59.6875
3305.2631578947367,60.3125
3300.0,60.3125
3294.7368421052633,54.375
3289.4736842105262,40.625
3284.210526315789,26.25
3278.9473684210525,24.375
3273.684210526316,26.25
3268.4210526315787,39.0625
3263.157894736842,49.0625
3257.894736842105,49.68749999999999
3252.6315789473683,48.12499999999999
3247.3684210526317,47.18750000000001
3242.1052631578946,46.56249999999999
3236.842105263158,46.56249999999999
3231.578947368421,46.875
3226.315789473684,48.4375
3221.0526315789475,50.0
3215.7894736842104,52.1875
3210.5263157894738,53.75
3205.2631578947367,55.0
3200.0,56.5625
3194.7368421052633,57.8125
3189.4736842105262,60.9375
3184.210526315789,63.125
3178.9473684210525,65.0
